aX,aY,aZ,gX,gY,gZ
0.297,1.879,-0.551,57.678,16.541,-3.113
0.205,1.860,-0.693,55.847,-2.441,13.062
0.442,1.904,-0.781,45.105,-6.653,9.583
0.676,1.978,-0.916,26.428,3.540,15.137
0.771,1.914,-0.994,6.653,13.062,24.109
0.939,1.807,-0.954,-9.216,23.315,37.415
1.211,1.719,-0.942,-10.071,34.485,57.068
1.368,1.596,-0.966,-1.343,31.738,73.975
1.438,1.323,-0.952,0.671,16.174,72.021
1.487,0.992,-0.863,-6.165,10.620,49.194
1.551,0.699,-0.688,-11.536,2.808,43.213
1.609,0.467,-0.480,2.441,-16.357,55.237
1.613,0.210,-0.379,39.124,-37.781,73.425
1.582,-0.055,-0.357,76.721,-57.068,89.722
1.518,-0.300,-0.403,101.563,-73.364,99.121
1.439,-0.508,-0.457,111.633,-89.783,105.286
1.265,-0.714,-0.586,113.525,-106.567,112.793
1.019,-0.906,-0.677,104.919,-125.610,118.408
0.722,-1.061,-0.646,89.844,-146.545,116.394
0.424,-1.199,-0.552,85.571,-165.833,101.685
0.115,-1.373,-0.519,91.553,-178.284,75.806
-0.117,-1.557,-0.473,85.083,-181.030,44.556
-0.327,-1.681,-0.369,58.289,-172.180,18.921
-0.420,-1.657,-0.333,24.414,-155.151,5.310
-0.523,-1.606,-0.258,-20.935,-135.864,0.977
-0.515,-1.429,-0.185,-67.688,-122.864,2.014
-0.583,-1.202,-0.221,-92.346,-112.976,2.197
-0.725,-1.002,-0.313,-102.295,-113.770,-2.930
-0.932,-0.840,-0.412,-112.061,-118.347,-13.123
-1.224,-0.666,-0.488,-126.648,-118.225,-22.339
-1.472,-0.425,-0.502,-146.057,-110.535,-22.705
-1.657,-0.094,-0.650,-156.738,-96.863,-13.672
-1.810,0.203,-0.834,-161.377,-83.252,-8.240
-2.005,0.429,-0.928,-168.640,-73.059,-13.855
-2.119,0.654,-0.895,-175.903,-62.317,-23.315
-2.191,0.913,-0.846,-179.260,-41.687,-28.015
-2.061,1.226,-0.823,-181.152,-10.864,-21.667
-1.883,1.582,-0.890,-175.720,28.137,-5.615
-1.594,1.931,-0.937,-177.063,62.500,7.874
-1.324,2.238,-0.978,-183.899,90.210,12.695
-1.145,2.464,-0.877,-185.608,108.459,11.536
-0.840,2.662,-1.012,-164.246,124.146,10.620
-0.578,2.709,-1.017,-157.776,130.554,9.766
-0.353,2.747,-0.948,-142.029,125.916,7.874
-0.199,2.685,-0.939,-108.337,121.521,3.845
-0.085,2.524,-0.988,-72.449,117.493,-0.793
0.003,2.307,-0.999,-49.133,112.610,-2.869
0.078,2.100,-0.961,-36.560,106.934,-2.197
0.140,1.917,-0.920,-26.489,101.685,1.831
0.191,1.748,-0.877,-15.625,96.008,6.714
0.246,1.600,-0.864,-1.587,92.041,9.888
0.307,1.479,-0.885,13.184,89.050,12.024
0.316,1.399,-0.927,28.931,82.642,14.038
0.360,1.354,-0.871,40.894,70.313,17.761
0.345,1.269,-0.937,51.758,63.904,13.000
0.323,1.161,-1.017,62.378,64.087,1.770
0.372,1.079,-0.986,68.237,54.688,-5.493
0.346,0.989,-0.961,74.890,46.082,-17.761
0.330,0.911,-1.081,84.412,43.823,-17.456
0.739,0.504,-0.928,70.984,44.250,-38.025
-0.013,0.503,-0.531,57.983,30.701,-86.853
0.127,0.513,-0.536,78.918,-5.066,-8.972
0.119,0.665,-1.050,115.662,47.791,-12.024
0.193,0.550,-1.025,102.905,53.101,-19.836
0.156,0.522,-0.753,74.219,35.400,-18.311
0.241,0.606,-0.708,73.975,26.489,-2.625
0.156,0.502,-0.733,79.590,27.222,-11.353
0.161,0.414,-0.567,70.496,22.095,-34.973
0.198,0.535,-0.454,78.735,8.545,-41.931
0.103,0.599,-0.526,99.426,4.272,-47.607
0.105,0.606,-0.490,105.957,11.658,-45.776
0.025,0.552,-0.461,105.103,24.048,-43.335
0.069,0.504,-0.302,87.769,24.841,-37.048
0.098,0.564,-0.322,95.703,33.203,-29.663
0.046,0.635,-0.338,94.666,49.194,-26.245
0.036,0.723,-0.317,87.097,60.852,-20.020
0.045,0.789,-0.391,84.595,63.354,-6.104
0.055,0.757,-0.405,70.862,52.063,0.916
0.058,0.704,-0.335,52.185,40.100,-4.456
0.055,0.733,-0.298,44.678,32.654,-13.367
-0.012,0.720,-0.244,41.199,23.071,-22.644
-0.084,0.703,-0.249,38.574,20.081,-29.541
-0.168,0.579,-0.264,31.128,21.912,-27.832
-0.166,0.630,-0.248,13.123,26.550,-12.939
-0.140,0.749,-0.138,-5.310,34.851,4.944
-0.151,0.771,-0.225,-4.456,49.927,9.460
-0.179,0.753,-0.288,-5.859,54.749,10.254
-0.057,0.854,-0.416,-76.843,43.335,12.573
-0.012,0.149,-2.063,-161.987,7.996,9.705
-0.203,0.696,0.982,-348.633,-45.532,38.269
-0.151,0.862,0.149,-228.638,-9.155,60.913
-0.132,0.642,-0.908,-7.935,60.608,49.072
-0.134,0.685,-0.482,-17.334,16.479,58.044
-0.188,0.636,-0.374,-4.517,-13.916,71.045
-0.235,0.689,-0.639,39.185,-17.151,88.257
-0.277,0.707,-0.536,61.707,-33.936,103.882
-0.275,0.779,-0.461,66.162,-45.898,115.417
-0.288,0.855,-0.507,76.477,-44.495,120.972
-0.271,0.918,-0.487,84.717,-46.326,120.483
-0.227,0.942,-0.499,100.891,-53.894,115.356
-0.231,0.937,-0.379,105.469,-66.040,106.689
-0.245,0.916,-0.338,98.083,-69.397,93.323
-0.222,0.901,-0.382,86.243,-65.857,78.918
-0.270,0.886,-0.300,62.317,-62.805,62.927
-0.306,0.957,-0.287,46.387,-55.908,51.758
-0.320,1.022,-0.210,28.992,-47.791,42.114
-0.366,1.070,-0.165,13.733,-34.241,29.968
-0.317,1.143,-0.072,6.897,-14.709,17.761
-0.375,1.249,-0.232,5.371,10.132,1.465
-0.328,1.105,-0.244,5.737,29.419,-19.348
-0.340,1.210,-0.438,12.329,38.757,-37.537
-0.318,1.137,-0.481,26.428,37.109,-54.626
-0.240,0.804,-0.472,33.875,27.039,-71.838
-0.276,0.712,-0.400,28.015,22.827,-69.031
-0.307,0.789,-0.384,13.916,23.132,-63.782
-0.269,0.773,-0.221,-2.136,20.203,-58.411
-0.178,0.777,-0.312,-0.977,33.142,-44.312
-0.178,0.849,-0.377,1.282,36.011,-32.654
-0.189,0.828,-0.399,-6.042,24.109,-27.771

-0.075,2.176,-0.652,-27.222,51.758,-27.893
0.019,2.441,-0.745,-23.071,57.861,-10.498
0.060,2.652,-0.825,-8.362,53.711,-10.376
0.161,2.706,-0.920,15.808,45.715,-27.649
0.127,2.643,-1.027,38.086,40.039,-36.804
0.212,2.501,-1.053,56.641,35.339,-43.762
0.379,2.282,-1.031,67.749,33.386,-52.246
0.608,2.092,-1.051,74.524,32.288,-46.814
0.759,1.942,-1.075,78.186,26.550,-33.752
0.824,1.783,-1.064,79.224,16.968,-17.273
0.837,1.586,-1.010,78.369,7.019,1.160
0.877,1.357,-0.942,76.355,1.892,20.874
0.854,1.152,-0.877,72.510,2.747,39.978
